"date","day_type","observed","source","commercial_tally","charter_tally","charter_trips","est_vessels","est_dung_char","est_dung"
2025-01-07,"weekday",TRUE,"tally (commercial census)",4,0,0,4,0,156.22695035461
2025-01-08,"weekday",TRUE,"tally (commercial census)",4,1,1,4,0,220.52695035461
2025-01-09,"weekday",TRUE,"tally (commercial census)",0,0,0,0,0,0
2025-01-10,"weekday",TRUE,"tally (commercial census)",1,0,0,1,0,39.0567375886525
2025-01-11,"weekend",TRUE,"tally (commercial census)",3,1,1,3,0,181.470212765957
2025-01-12,"weekend",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-01-13,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-01-14,"weekday",TRUE,"tally (commercial census)",5,0,0,5,0,195.283687943262
2025-01-15,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-01-16,"weekday",TRUE,"tally (commercial census)",0,0,0,0,0,0
2025-01-17,"weekday",TRUE,"tally (commercial census)",5,0,0,5,0,195.283687943262
2025-01-18,"weekend",TRUE,"tally (commercial census)",6,1,1,6,0,298.640425531915
2025-01-19,"weekend",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-01-20,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-01-21,"weekday",TRUE,"tally (commercial census)",6,0,0,6,0,234.340425531915
2025-01-22,"weekday",TRUE,"tally (commercial census)",1,1,1,1,0,103.356737588652
2025-01-23,"weekday",TRUE,"tally (commercial census)",7,1,1,7,0,337.697163120567
2025-01-24,"weekday",TRUE,"tally (commercial census)",5,0,0,5,0,195.283687943262
2025-01-25,"weekend",TRUE,"tally (commercial census)",5,1,1,5,0,259.583687943262
2025-01-26,"weekend",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-01-27,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-01-28,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-01-29,"weekday",TRUE,"tally (commercial census)",2,1,1,2,0,142.413475177305
2025-01-30,"weekday",TRUE,"tally (commercial census)",7,1,1,7,0,337.697163120567
2025-01-31,"weekday",TRUE,"tally (commercial census)",0,0,0,0,0,0
2025-02-01,"weekend",TRUE,"tally (commercial census)",2,1,1,2,0,142.413475177305
2025-02-02,"weekend",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-02-03,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-02-04,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-02-05,"weekday",TRUE,"tally (commercial census)",1,1,1,1,0,103.356737588652
2025-02-06,"weekday",TRUE,"tally (commercial census)",4,0,0,4,0,156.22695035461
2025-02-07,"weekday",TRUE,"tally (commercial census)",2,0,0,2,0,78.113475177305
2025-02-08,"weekend",TRUE,"tally (commercial census)",0,0,0,0,0,0
