"stage","criterion","observed","threshold","verdict","why"
"R2","boat PPC still calibrated after the prior move","  data_type coverage_50 coverage_95  pit_mean    pit_sd   n n_obs | 1   trailer   0.5128205   0.9794872 0.4942960 0.2680144 195   195 | 2       osp   0.4923077   0.9846154 0.5052154 0.2820184 130   130 | 3     catch   0.5769231   0.9538462 0.5105776 0.2723211 130   130","PIT means near 0.5, coverage near nominal","READ","The prior move should improve, not worsen, the OSP stream's fit: read the OSP/trailer rows."
"R2f","the shore did not move when f was rolled back (f is boat-only)","shore fits, R2f vs R2: 6270 shared parameter rows across 4 summaries identical at full precision; configs differ in 4 key(s): crab_fraction_dynamic, crab_fraction_rows, crab_fraction_source, crab_fraction_strata","shore fits bit-identical to R2","PASS","crab_fraction_stan_data() sets apply_crab_fraction = 0 for shore; a FAIL means an f term reached the shore."
"R2f","the f block leaves effort and CPUE untouched (factorization)","boat non-f parameters, R2f vs R2: 1957 shared rows across 2 summaries; max |z| 3.20 (private_boat_ring_net_only_Dungeness_Kept:L_raw[13]); 2 rows above 3 (0.10%)","max |z| under 5 and under 1% of rows above 3","PASS","This is the R3-vs-R3a test of the 2026-09-08 design, run as a single control rung against the CURRENT turnover prior instead of the retired one. A FAIL means an f term reached an effort or CPUE likelihood, which would make every boat number in the ladder attributable to two things at once."
"R2f","what the new f is worth on the boat, at a fixed turnover","boat all-gear with the new f 45,604 vs the retired f 33,641 (+35.6%); shore unchanged","informational: this is the f effect the 'ladder' mode spends two fits to attribute","INFO","The boat is linear in f day by day, so this ratio is the effort-weighted change in f. Read it against crab_fraction_strata_*.csv from the R2 folder, which carries the monthly f the walk produced and the contact counts behind each month."
"R4","the boat did not move (the shore prior cannot reach it)","boat fits vs R3: 4170 shared parameter rows across 4 summaries identical at full precision; configs differ in 7 key(s): census_uncertainty, charter_expansion, charter_frame, shared_tau_min_obs, tau_shore_prior_mu, tau_shore_prior_sigma, tau_shore_prior_source  <-- 3 UNEXPECTED: census_uncertainty, charter_expansion, charter_frame","boat fits bit-identical to the previous rung","PASS","A FAIL means the shore turnover leaked into the boat fits, which it has no path to do."
"R4","the shore scales by the ratio of the two turnovers","shore all-gear effort 34,837 vs 25,683 (x1.356); catch 29,210 vs 21,502 (x1.358); pot closure catch 8,963 vs 6,343 (x1.413)","about x1.45 (2.48 / 1.7), effort and catch alike, both sub-seasons","PASS","The shore is linear in tau_shore; the derived prior is 2.48 against 1.7 and the shared level carries it. A ratio well off 1.45 means the data (I/E trips) pulled the level, which is worth reading: the I/E stream is the only shore observation that can."
"R4","the I/E observation scale did not worsen","sigma_IE 0.577 (R3 0.373)","not larger than R3's","REVIEW","If the I/E trips disagree with the derived turnover, sigma_IE absorbs the disagreement; it should not grow."
"R4","the port total with the derived shore turnover","94,376 [77,566, 118,602] (R3 83,336; baseline 72,027)","informational; the decision (adopt, or hold for a field check) is Matt's","INFO","A paired gear count on every I/E day is the cheap field confirmation of the derived turnover."
"R5","the two tracks agree on the R4 configuration","gear port 93,274 vs pooled 94,376 (-1.17%); boat all-gear gear 45,374 vs pooled 45,604; shore all-gear gear 28,334 vs pooled 29,210","within about 2% at the port","PASS","Two independently parameterized CPUE structures fitting the same data. The gear track's shore all-gear fit sits at monthly and its catch likelihood is plain NB2, so a small standing gap is expected (about -0.8% on 2026-09-05); a large one after these patches points at the boat."
"R5","the shared turnover agrees across tracks","gear tau_bar 2.9766 vs pooled 2.9771 (-0.02%)","within a few percent","PASS","tau_bar is a property of the OSP/trailer data; the two tracks estimated it to 0.03% on 2026-09-01."
"R5","the dynamic f agrees across tracks (it reads the same contacts)","max |f_gear - f_pooled| over months 0.002","under 0.03","PASS","The f block is identical in both Stan files and reads the same rows; a gap here is a data-plumbing bug, not a model difference."
